isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,content_bundle,short_summary
9780000000000.0,876856830,You Get So Alone at Times,,Charles Bukowski,Fiction,http://books.google.com/books/content?id=6t3SlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Charles Bukowski examines cats and his childhood in You Get So Alone at Times, a book of poetry that reveals his tender side. He delves into his youth to analyze its repercussions.",2002.0,4.25,320,11737,"Title: You Get So Alone at Times. Author: Charles Bukowski. Category: Fiction. Description: Charles Bukowski examines cats and his childhood in You Get So Alone at Times, a book of poetry that reveals his tender side. He delves into his youth to analyze its repercussions.","This book of poetry by Charles Bukowski explores his childhood and its lasting impact, revealing a tender side to the author's typically raw and unflinching persona."
9780000000000.0,087747785X,The Loftier Way,Tales from the Ancient American Frontier,Blaine M. Yorgason;Brenton G. Yorgason,Fiction,http://books.google.com/books/content?id=2g5GO7mjmEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Includes bibliographies.,1985.0,3.78,131,9,Title: The Loftier Way. Author: Blaine M. Yorgason;Brenton G. Yorgason. Category: Fiction. Description: Includes bibliographies.,Includes bibliographies.
9780000000000.0,877880204,A Full House,An Austin Family Christmas,Madeleine L'Engle,Fiction,http://books.google.com/books/content?id=dBmYPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Austins have a full house on Christmas Eve when fate brings them a new mother and a young woman who is expecting.,1999.0,3.99,48,228,Title: A Full House. Author: Madeleine L'Engle. Category: Fiction. Description: The Austins have a full house on Christmas Eve when fate brings them a new mother and a young woman who is expecting.,"The Austins welcome a new mother and a pregnant young woman into their chaotic household on Christmas Eve, setting off a heartwarming and unexpected chain of events."
9780000000000.0,877887268,The Rock that is Higher,Story as Truth,Madeleine L'Engle,Religion,http://books.google.com/books/content?id=Q-8EAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"We are all strangers in a strange land, longing for home, but not quite knowing what or where home is. We glimpse it sometimes in our dreams, or as we turn a corner, and suddenly there is a strange, sweet familiarity that vanishes almost as soon as it comes… –Madeleine L’Engle, from The Rock That Is Higher Story captures our hearts and feeds our imaginations. It reminds us who we are and where we came from. Story gives meaning and direction to our lives as we learn to see it as an affirmation of God’s love and truth–an acknowledgment of our longing for a rock in the midst of life’s wilderness. Drawing upon her own experiences, well-known tales in literature, and selected narratives from Scripture, Madeleine L’Engle gently leads the way into the glorious world of story in The Rock That Is Higher. Here she acknowledges universal human longings and considers how literature, Scripture, personal stories, and life experiences all point us toward our true home.",1993.0,4.13,320,457,"Title: The Rock that is Higher. Author: Madeleine L'Engle. Category: Religion. Description: We are all strangers in a strange land, longing for home, but not quite knowing what or where home is. We glimpse it sometimes in our dreams, or as we turn a corner, and suddenly there is a strange, sweet familiarity that vanishes almost as soon as it comes… –Madeleine L’Engle, from The Rock That Is Higher Story captures our hearts and feeds our imaginations. It reminds us who we are and where we came from. Story gives meaning and direction to our lives as we learn to see it as an affirmation of God’s love and truth–an acknowledgment of our longing for a rock in the midst of life’s wilderness. Drawing upon her own experiences, well-known tales in literature, and selected narratives from Scripture, Madeleine L’Engle gently leads the way into the glorious world of story in The Rock That Is Higher. Here she acknowledges universal human longings and considers how literature, Scripture, personal stories, and life experiences all point us toward our true home.","Madeleine L'Engle explores the universal human longing for a sense of home and belonging through literature, Scripture, and personal experiences, revealing how story gives meaning and direction to life."
9780000000000.0,878052739,Conversations with Ernest Hemingway,,Ernest Hemingway;Matthew Joseph Bruccoli,Literary Criticism,http://books.google.com/books/content?id=AYQdKWlNE28C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Collections of interviews with notable modern writers,1986.0,4.17,204,61,Title: Conversations with Ernest Hemingway. Author: Ernest Hemingway;Matthew Joseph Bruccoli. Category: Literary Criticism. Description: Collections of interviews with notable modern writers,Collections of interviews with notable modern writers
9780000000000.0,878056262,Conversations with Jerzy Kosinski,,Jerzy Kosinski,Literary Criticism,http://books.google.com/books/content?id=GYCLY-KyPGUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Collections of interviews with notable modern writers,1993.0,3.75,242,25,Title: Conversations with Jerzy Kosinski. Author: Jerzy Kosinski. Category: Literary Criticism. Description: Collections of interviews with notable modern writers,Collections of interviews with notable modern writers
9780000000000.0,878057005,Conversations with John Updike,,John Updike;James Plath,Biography & Autobiography,http://books.google.com/books/content?id=eXsddzer-FQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Collects thirty-two interviews with the writer between 1959 and 1993,1994.0,3.58,302,12,Title: Conversations with John Updike. Author: John Updike;James Plath. Category: Biography & Autobiography. Description: Collects thirty-two interviews with the writer between 1959 and 1993,Collects thirty-two interviews with the writer between 1959 and 1993
9780000000000.0,878510370,The Good Housekeeping Illustrated Cookbook,,Zoe Coulson,Cookbooks,https://via.placeholder.com/150x200.png?text=No+Cover,"Over 900 dishes, plus illustrated step-by-step recipes.",1980.0,4.36,512,1114,"Title: The Good Housekeeping Illustrated Cookbook. Author: Zoe Coulson. Category: Cookbooks. Description: Over 900 dishes, plus illustrated step-by-step recipes.","Over 900 dishes, plus illustrated step-by-step recipes."
9780000000000.0,087893720X,Essentials of Conservation Biology,,Richard B. Primack,Science,http://books.google.com/books/content?id=spaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Essentials of Conservation Biology (Fourth Edition) combines theory and basic research to explain the connections between conservation biology and environmental economics, education, ethics, law and the social sciences. It is beautifully illustrated and is written in clear, non-technical language. The book's broad, up-to-date coverage and its extensive bibliography with over 1,000 references also make it invaluable to graduate students and researchers. This new edition now comes with a Glossary.",2006.0,3.89,585,36,"Title: Essentials of Conservation Biology. Author: Richard B. Primack. Category: Science. Description: Essentials of Conservation Biology (Fourth Edition) combines theory and basic research to explain the connections between conservation biology and environmental economics, education, ethics, law and the social sciences. It is beautifully illustrated and is written in clear, non-technical language. The book's broad, up-to-date coverage and its extensive bibliography with over 1,000 references also make it invaluable to graduate students and researchers. This new edition now comes with a Glossary.","This book provides a comprehensive overview of conservation biology, exploring its connections to various fields, including economics, education, ethics, law, and the social sciences. It offers a broad, up-to-date coverage for students and researchers."
9780000000000.0,879074493,Exercitia Spiritualia,,Saint Gertrude (the Great),Religion,http://books.google.com/books/content?id=aehfQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The most scholarly of the remarkable nuns of Helfta composed these meditations, rituals, prayers, instructions on how to pray, chants, hymns, and litanies in the late thirteenth century. Her mastery of poetic prose attests to the level of women's education in the highly cultured abbey she entered as a child of five and never, so far as we know, left even once.",1989.0,3.2,165,5,"Title: Exercitia Spiritualia. Author: Saint Gertrude (the Great). Category: Religion. Description: The most scholarly of the remarkable nuns of Helfta composed these meditations, rituals, prayers, instructions on how to pray, chants, hymns, and litanies in the late thirteenth century. Her mastery of poetic prose attests to the level of women's education in the highly cultured abbey she entered as a child of five and never, so far as we know, left even once.","A group of nuns at Helfta Abbey in the late 13th century compiled meditations, prayers, and hymns, showcasing their high level of education and poetic skill."
9780000000000.0,879100362,Harpo Speaks!,,Harpo Marx;Rowland Barber,Biography & Autobiography,http://books.google.com/books/content?id=vdky6OK4z4gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Depicts the personal life of Harpo Marx and traces his career as a member of the Marx Brothers comedy team,1985.0,4.4,482,1934,Title: Harpo Speaks!. Author: Harpo Marx;Rowland Barber. Category: Biography & Autobiography. Description: Depicts the personal life of Harpo Marx and traces his career as a member of the Marx Brothers comedy team,"This biography follows Harpo Marx's personal life and career as a member of the iconic Marx Brothers comedy team, showcasing his unique talents and contributions to the group's success."
9780000000000.0,879102780,Jean Arthur,The Actress Nobody Knew,John Oller,Biography & Autobiography,http://books.google.com/books/content?id=gdDl4Y38jD4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The luminous star of Mr. Smith Goes to Washington, Shane, and other classic films was, as the subtitle aptly puts it, ""the actress nobody knew."" Jean Arthur (1900-91) kept her personal life private, disdained the Hollywood publicity machine, and was called ""difficult"" because of her perfectionism and remoteness from costars on the movie set. John Oller, a lawyer, tracked down kinsfolk and friends never before interviewed to capture the elusive personality of a free spirit best embodied in her favorite role, Peter Pan. Arthur herself might have appreciated his warm, respectful portrait. ""...[An] insightful, painstakingly researched analysis of Arthur's life and career raises the curtain on the complex, conflicted person behind the screen persona...Captures the special shine of a unique star who turned out to be a genuine eccentric."" -Chicago Tribune",1999.0,3.89,358,272,"Title: Jean Arthur. Author: John Oller. Category: Biography & Autobiography. Description: The luminous star of Mr. Smith Goes to Washington, Shane, and other classic films was, as the subtitle aptly puts it, ""the actress nobody knew."" Jean Arthur (1900-91) kept her personal life private, disdained the Hollywood publicity machine, and was called ""difficult"" because of her perfectionism and remoteness from costars on the movie set. John Oller, a lawyer, tracked down kinsfolk and friends never before interviewed to capture the elusive personality of a free spirit best embodied in her favorite role, Peter Pan. Arthur herself might have appreciated his warm, respectful portrait. ""...[An] insightful, painstakingly researched analysis of Arthur's life and career raises the curtain on the complex, conflicted person behind the screen persona...Captures the special shine of a unique star who turned out to be a genuine eccentric."" -Chicago Tribune","This biography delves into the private life of actress Jean Arthur, revealing the complexities behind her enigmatic screen persona through interviews with previously unknown relatives and friends."
9780000000000.0,879232153,Hamlet's Mill,An Essay on Myth and the Frame of Time,Giorgio De Santillana;Hertha von Dechend,Philosophy,http://books.google.com/books/content?id=ql7ATHGee50C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Ever since the Greeks coined the language we commonly use for scientific description, mythology and science have developed separately. But what came before the Greeks? What if we could prove that all myths have one common origin in a celestial cosmology? What if the gods, the places they lived, and what they did are but ciphers for celestial activity, a language for the perpetuation of complex astronomical data? Drawing on scientific data, historical and literary sources, the authors argue that our myths are the remains of a preliterate astronomy, an exacting science whose power and accuracy were suppressed and then forgotten by an emergent Greco-Roman world view. This fascinating book throws into doubt the self-congratulatory assumptions of Western science about the unfolding development and transmission of knowledge. This is a truly seminal and original thesis, a book that should be read by anyone interested in science, myth, and the interactions between the two.",1977.0,4.27,450,458,"Title: Hamlet's Mill. Author: Giorgio De Santillana;Hertha von Dechend. Category: Philosophy. Description: Ever since the Greeks coined the language we commonly use for scientific description, mythology and science have developed separately. But what came before the Greeks? What if we could prove that all myths have one common origin in a celestial cosmology? What if the gods, the places they lived, and what they did are but ciphers for celestial activity, a language for the perpetuation of complex astronomical data? Drawing on scientific data, historical and literary sources, the authors argue that our myths are the remains of a preliterate astronomy, an exacting science whose power and accuracy were suppressed and then forgotten by an emergent Greco-Roman world view. This fascinating book throws into doubt the self-congratulatory assumptions of Western science about the unfolding development and transmission of knowledge. This is a truly seminal and original thesis, a book that should be read by anyone interested in science, myth, and the interactions between the two.","The authors propose that ancient myths are remnants of a preliterate astronomy, a forgotten exacting science that encoded celestial activity into a language of gods, places, and actions. This thesis challenges Western science's assumptions about the development and transmission of knowledge."
